name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Carnivore Fried Chicken	zoo	food	147000	115	25	4	2022-05-15T15:12:59.152Z
Asteroid Slingshot	space	flat	1597000	1243	22	3	2022-05-15T15:12:59.152Z
Asteroid Cars	space	kids	68000	206	31	4	2022-05-15T15:12:59.152Z
Excessive Stationery	extreme	shop	73000	108	21	4	2022-05-15T15:12:59.152Z
Coral Lightspeed	aquarium	coaster	1064000	2200	31	5	2022-05-15T15:12:59.152Z
Woodland Goliath	zoo	coaster	2309000	2417	28	4	2022-05-15T15:12:59.152Z
Rocketeer Chocolates	space	shop	87000	118	30	2	2022-05-15T15:12:59.152Z
Void Curry	space	food	136000	151	13	5	2022-05-15T15:12:59.152Z
Grave Mountain	spooky	coaster	889000	453	7	5	2022-05-15T15:12:59.152Z
Ultimate Curry	extreme	food	87000	122	30	2	2022-05-15T15:12:59.152Z
Incorporeal Dodgems	spooky	kids	149000	214	14	3	2022-05-15T15:12:59.152Z
Extreme Speedway	extreme	kids	72000	354	18	4	2022-05-15T15:12:59.152Z
Skeleton Bungie	spooky	flat	1976000	1269	34	2	2022-05-15T15:12:59.152Z
Skeleton Slide	spooky	kids	71000	60	5	2	2022-05-15T15:12:59.152Z
Rocketeer Stomach-turner	space	flat	1915000	1353	21	4	2022-05-15T15:12:59.152Z
Galleon Acupuncture	pirate	shop	85000	140	18	2	2022-05-15T15:12:59.152Z
Scary Spinner	spooky	flat	1009000	1207	11	2	2022-05-15T15:12:59.152Z
Solstace Udon	space	food	68000	99	34	5	2022-05-15T15:12:59.152Z
Asteroid Bungie	space	flat	518000	497	37	2	2022-05-15T15:12:59.152Z
Incorporeal Pizza	spooky	food	54000	29	21	3	2022-05-15T15:12:59.152Z
Starfish Pins	aquarium	shop	98000	81	13	4	2022-05-15T15:12:59.152Z
Jellyfish Umbrellas	aquarium	shop	107000	123	5	3	2022-05-15T15:12:59.152Z
Extreme Mont Blanc	extreme	food	146000	170	10	3	2022-05-15T15:12:59.152Z
Scary Plunge	spooky	coaster	3972000	2903	15	3	2022-05-15T15:12:59.152Z
Screaming Portraits	spooky	shop	118000	102	5	2	2022-05-15T15:12:59.152Z
Rocketeer Massage	space	shop	58000	84	14	2	2022-05-15T15:12:59.152Z
Incorporeal Rocket	spooky	coaster	1684000	2360	34	2	2022-05-15T15:12:59.152Z
Severe Sushi	extreme	food	118000	76	14	3	2022-05-15T15:12:59.152Z
Nautical Pets	pirate	shop	74000	65	33	2	2022-05-15T15:12:59.152Z
Ultimate Balloons	extreme	shop	110000	75	38	3	2022-05-15T15:12:59.152Z
Arrrr Hot Dogs	pirate	food	59000	42	16	3	2022-05-15T15:12:59.152Z
Anchor Traveler	pirate	coaster	1921000	1370	6	3	2022-05-15T15:12:59.152Z
Screaming Train	spooky	kids	102000	233	5	5	2022-05-15T15:12:59.152Z
Phantasmic Zipper	spooky	flat	580000	1105	18	2	2022-05-15T15:12:59.152Z
Starfish Turbulence	aquarium	flat	645000	1068	29	4	2022-05-15T15:12:59.152Z
Nautical Swing	pirate	kids	92000	340	11	4	2022-05-15T15:12:59.152Z
Coral Dodgems	aquarium	kids	147000	534	36	2	2022-05-15T15:12:59.152Z
Woodland Massage	zoo	shop	58000	102	6	3	2022-05-15T15:12:59.152Z
Moon House of Mirrors	space	kids	122000	306	20	2	2022-05-15T15:12:59.152Z
Plank Gyoza	pirate	food	84000	90	30	5	2022-05-15T15:12:59.152Z
Intense Goliath	extreme	coaster	2765000	2843	8	3	2022-05-15T15:12:59.152Z
Planetfall Force	space	coaster	694000	1698	11	5	2022-05-15T15:12:59.152Z
Mutiny Fried Potatoes	pirate	food	58000	67	31	4	2022-05-15T15:12:59.152Z
Spooky Spinner	spooky	flat	1808000	1471	21	5	2022-05-15T15:12:59.152Z
Spooky Turbulence	spooky	flat	1145000	797	26	4	2022-05-15T15:12:59.152Z
Incorporeal Hats	spooky	shop	64000	90	34	4	2022-05-15T15:12:59.152Z
Moon Omelettes	space	food	130000	140	30	5	2022-05-15T15:12:59.152Z
Sailor Balloons	pirate	shop	34000	44	28	2	2022-05-15T15:12:59.152Z
Phantasmic Minecart	spooky	coaster	3541000	2776	34	2	2022-05-15T15:12:59.152Z
Creepy Stationery	spooky	shop	123000	159	32	5	2022-05-15T15:12:59.152Z
Solstace Turbulence	space	flat	1021000	1475	24	5	2022-05-15T15:12:59.152Z
Safari Shaker	zoo	flat	1786000	1575	7	5	2022-05-15T15:12:59.152Z
Scary Lightspeed	spooky	coaster	3880000	2357	39	4	2022-05-15T15:12:59.152Z
Antarctic Dodgems	zoo	kids	79000	55	21	2	2022-05-15T15:12:59.152Z
Monkey Udon	zoo	food	111000	87	5	2	2022-05-15T15:12:59.152Z
Void Force	space	coaster	3980000	2445	18	2	2022-05-15T15:12:59.152Z
Skull and Bones Slingshot	pirate	flat	1892000	1888	29	2	2022-05-15T15:12:59.152Z
Black Hole Portraits	space	shop	100000	108	37	4	2022-05-15T15:12:59.152Z
Orbit Gyoza	space	food	58000	127	36	4	2022-05-15T15:12:59.152Z
Algae Sushi	aquarium	food	135000	91	35	5	2022-05-15T15:12:59.152Z
Wetland Turbulence	aquarium	flat	522000	890	11	2	2022-05-15T15:12:59.152Z
Unreasonable Triple Flip	extreme	flat	917000	1302	34	4	2022-05-15T15:12:59.152Z
Madness Coaster	extreme	coaster	1321000	1765	29	2	2022-05-15T15:12:59.152Z
Spooky Massage	spooky	shop	106000	78	27	4	2022-05-15T15:12:59.152Z
Safari -Go-Round	zoo	kids	108000	399	11	4	2022-05-15T15:12:59.152Z
Harrowing Omelettes	extreme	food	95000	58	23	3	2022-05-15T15:12:59.152Z
Orbit Lightspeed	space	coaster	1930000	1486	38	3	2022-05-15T15:12:59.152Z
Intense Teacups	extreme	kids	131000	498	5	3	2022-05-15T15:12:59.152Z
Maniac Cars	extreme	kids	137000	215	7	3	2022-05-15T15:12:59.152Z
Harrowing Massage	extreme	shop	68000	105	36	5	2022-05-15T15:12:59.152Z
Nightmare Chocolates	spooky	shop	53000	52	13	4	2022-05-15T15:12:59.152Z
Plank Spinner	pirate	flat	1912000	1048	24	2	2022-05-15T15:12:59.152Z
Solstace Stomach-turner	space	flat	957000	1437	22	4	2022-05-15T15:12:59.152Z
Wetland Screamer	aquarium	coaster	2050000	2747	28	4	2022-05-15T15:12:59.152Z
Asteroid Rocket	space	coaster	2131000	1635	24	5	2022-05-15T15:12:59.152Z
Radical Spinner	extreme	flat	753000	1184	13	2	2022-05-15T15:12:59.152Z
Screaming Fried Chicken	spooky	food	147000	164	19	3	2022-05-15T15:12:59.152Z
Pirate Dodgems	pirate	kids	143000	190	31	4	2022-05-15T15:12:59.152Z
Arrrr Pets	pirate	shop	57000	71	34	2	2022-05-15T15:12:59.152Z
Astronaut Umbrellas	space	shop	116000	129	30	2	2022-05-15T15:12:59.152Z
Cosmonaut Whirlwind	space	flat	1062000	1326	7	2	2022-05-15T15:12:59.152Z
Forest Gyoza	zoo	food	96000	50	20	2	2022-05-15T15:12:59.152Z
Pirate Sushi	pirate	food	114000	72	10	2	2022-05-15T15:12:59.152Z
Capybara Zipper	zoo	flat	1840000	1490	33	4	2022-05-15T15:12:59.152Z
Void Chocolates	space	shop	62000	83	23	3	2022-05-15T15:12:59.152Z
Utter Coaster	extreme	coaster	2457000	1744	22	2	2022-05-15T15:12:59.152Z
Avast Slide	pirate	kids	142000	152	5	2	2022-05-15T15:12:59.152Z
Anchor Massage	pirate	shop	39000	28	35	4	2022-05-15T15:12:59.152Z
Creepy Gyoza	spooky	food	115000	134	15	4	2022-05-15T15:12:59.152Z
Cemetery Vengeance	spooky	coaster	1207000	1696	24	3	2022-05-15T15:12:59.152Z
Wildlife Stationery	zoo	shop	84000	107	23	2	2022-05-15T15:12:59.152Z
Rocketeer Flight	space	kids	148000	78	15	4	2022-05-15T15:12:59.152Z
Cemetery Acupuncture	spooky	shop	61000	54	13	2	2022-05-15T15:12:59.152Z
Cosmonaut Hamburgers	space	food	147000	134	6	2	2022-05-15T15:12:59.152Z
Ghoulish Steak	spooky	food	126000	85	29	5	2022-05-15T15:12:59.152Z
Pachyderm Hats	zoo	shop	42000	109	34	5	2022-05-15T15:12:59.152Z
Forest Stomach-turner	zoo	flat	1471000	1009	22	2	2022-05-15T15:12:59.152Z
Nautical Traveler	pirate	coaster	3812000	3713	40	5	2022-05-15T15:12:59.152Z
Black Flag Chaser	pirate	coaster	1470000	1308	34	5	2022-05-15T15:12:59.152Z
Unreasonable Speedway	extreme	kids	104000	500	23	2	2022-05-15T15:12:59.152Z
Inordinate Mont Blanc	extreme	food	96000	82	14	2	2022-05-15T15:12:59.152Z
Astronaut Souvenirs	space	shop	109000	139	28	5	2022-05-15T15:12:59.152Z
Sailor Ramen	pirate	food	147000	129	17	5	2022-05-15T15:12:59.152Z
Antarctic Coaster	zoo	coaster	2881000	1447	32	5	2022-05-15T15:12:59.152Z
Woodland Zipper	zoo	flat	1628000	1340	36	3	2022-05-15T15:12:59.152Z
Gangplank Curry	pirate	food	122000	83	39	2	2022-05-15T15:12:59.152Z
Dolphin Toboggan	aquarium	flat	1282000	1037	21	3	2022-05-15T15:12:59.152Z
Woodland Balloons	zoo	shop	108000	60	15	4	2022-05-15T15:12:59.152Z
Waterlogged Souvenirs	aquarium	shop	103000	111	12	4	2022-05-15T15:12:59.152Z
Moon Candy	space	shop	110000	87	35	2	2022-05-15T15:12:59.152Z
Hippo Shaker	zoo	flat	689000	817	33	4	2022-05-15T15:12:59.152Z
Hatchery Nauseator	aquarium	flat	1164000	1002	9	2	2022-05-15T15:12:59.152Z
Antarctic Fusion	zoo	coaster	3573000	3135	19	3	2022-05-15T15:12:59.152Z
Eclipse Coaster	space	coaster	1521000	1682	6	2	2022-05-15T15:12:59.152Z
Elephant Stationery	zoo	shop	35000	98	11	5	2022-05-15T15:12:59.152Z
Forest Fusion	zoo	coaster	1264000	2580	20	2	2022-05-15T15:12:59.152Z
Rocketeer Umbrellas	space	shop	75000	103	5	3	2022-05-15T15:12:59.152Z
Panda Turbulence	zoo	flat	1670000	1516	33	4	2022-05-15T15:12:59.152Z
Void Pins	space	shop	99000	133	21	4	2022-05-15T15:12:59.152Z
Reptile Souvenirs	zoo	shop	123000	130	38	4	2022-05-15T15:12:59.152Z
Ultimate Omelettes	extreme	food	148000	106	25	5	2022-05-15T15:12:59.152Z
Asteroid Hamburgers	space	food	63000	75	34	4	2022-05-15T15:12:59.152Z
Cosmonaut Balloons	space	shop	113000	151	33	4	2022-05-15T15:12:59.152Z
Nightmare Pizza	spooky	food	55000	87	27	2	2022-05-15T15:12:59.152Z
Astronaut Windjammer	space	kids	64000	124	20	5	2022-05-15T15:12:59.152Z
Cemetery Coaster	spooky	coaster	1201000	2448	8	5	2022-05-15T15:12:59.152Z
Gravity Whirlwind	space	flat	824000	725	14	4	2022-05-15T15:12:59.152Z
Starfish Lightspeed	aquarium	coaster	2736000	2298	27	5	2022-05-15T15:12:59.152Z
Saltwater Train	aquarium	kids	98000	88	10	4	2022-05-15T15:12:59.152Z
Gravity Intimidator	space	coaster	1936000	2733	22	3	2022-05-15T15:12:59.152Z
Ghoulish Boat	spooky	kids	85000	507	7	4	2022-05-15T15:12:59.152Z
Starfish Gyoza	aquarium	food	145000	144	9	4	2022-05-15T15:12:59.152Z
Phantasmic Souvenirs	spooky	shop	58000	90	26	5	2022-05-15T15:12:59.152Z
Zombie Vengeance	spooky	coaster	2504000	2827	28	3	2022-05-15T15:12:59.152Z
Dolphin Windjammer	aquarium	kids	65000	265	22	5	2022-05-15T15:12:59.152Z
Arrrr Boat	pirate	kids	71000	270	9	5	2022-05-15T15:12:59.152Z
Excessive Hats	extreme	shop	92000	126	12	3	2022-05-15T15:12:59.152Z
Hyper Acupuncture	extreme	shop	74000	137	37	5	2022-05-15T15:12:59.152Z
Dolphin Vengeance	aquarium	coaster	2298000	1386	33	2	2022-05-15T15:12:59.152Z
Monkey Shock	zoo	flat	1033000	928	14	2	2022-05-15T15:12:59.152Z
Radical Hats	extreme	shop	74000	61	14	4	2022-05-15T15:12:59.152Z
Black Hole Traveler	space	coaster	2586000	1923	27	3	2022-05-15T15:12:59.152Z
Jellyfish Rush	aquarium	coaster	1035000	1781	13	2	2022-05-15T15:12:59.152Z
Arrrr Mountain	pirate	coaster	1448000	1006	16	4	2022-05-15T15:12:59.152Z
Monkey Pins	zoo	shop	88000	91	10	5	2022-05-15T15:12:59.152Z
Algae Thriller	aquarium	coaster	3956000	3319	21	4	2022-05-15T15:12:59.152Z
Aquatic Steak	aquarium	food	103000	141	8	2	2022-05-15T15:12:59.152Z
Asteroid -Go-Round	space	kids	98000	221	16	3	2022-05-15T15:12:59.152Z
Incorporeal Bumpers	spooky	kids	73000	188	11	3	2022-05-15T15:12:59.152Z
Dark Souvenirs	spooky	shop	115000	67	31	4	2022-05-15T15:12:59.152Z
Coral Hamburgers	aquarium	food	93000	58	17	5	2022-05-15T15:12:59.152Z
Shooting Star Omelettes	space	food	55000	62	11	2	2022-05-15T15:12:59.152Z
Gangplank Zipper	pirate	flat	1216000	1129	39	5	2022-05-15T15:12:59.152Z
Woodland -Go-Round	zoo	kids	122000	86	37	2	2022-05-15T15:12:59.152Z
Creepy Traveler	spooky	coaster	2283000	2558	20	2	2022-05-15T15:12:59.152Z
Woodland Slingshot	zoo	flat	1915000	1445	5	3	2022-05-15T15:12:59.152Z
Black Hole Pets	space	shop	58000	41	12	3	2022-05-15T15:12:59.152Z
Planetfall Bumpers	space	kids	114000	346	6	3	2022-05-15T15:12:59.152Z
Skeleton Maritozzo	spooky	food	55000	125	6	4	2022-05-15T15:12:59.152Z
Intense Minecart	extreme	coaster	954000	604	17	2	2022-05-15T15:12:59.152Z
Waterlogged Fried Chicken	aquarium	food	74000	86	16	5	2022-05-15T15:12:59.152Z
Plank Minecart	pirate	coaster	2713000	2237	20	3	2022-05-15T15:12:59.152Z
Cemetery Spinner	spooky	flat	1764000	1579	16	5	2022-05-15T15:12:59.152Z
Carnivore Fury	zoo	flat	1076000	682	18	4	2022-05-15T15:12:59.152Z
Grave Shaker	spooky	flat	505000	659	37	3	2022-05-15T15:12:59.152Z
Ghastly Pins	spooky	shop	70000	128	19	4	2022-05-15T15:12:59.152Z
Madness Toboggan	extreme	flat	928000	1018	7	5	2022-05-15T15:12:59.152Z
Hippo Stomach-turner	zoo	flat	810000	857	40	2	2022-05-15T15:12:59.152Z
Shooting Star Whirlwind	space	flat	1499000	1338	39	4	2022-05-15T15:12:59.152Z
Severe Speedway	extreme	kids	137000	436	30	4	2022-05-15T15:12:59.152Z
Skull and Bones Bumpers	pirate	kids	132000	391	17	4	2022-05-15T15:12:59.152Z
Incorporeal Violence	spooky	flat	1123000	1170	33	3	2022-05-15T15:12:59.152Z
Harrowing Udon	extreme	food	50000	46	20	5	2022-05-15T15:12:59.152Z
Hyper Shaker	extreme	flat	1641000	1545	16	3	2022-05-15T15:12:59.152Z
Galleon Rotator	pirate	kids	92000	337	40	2	2022-05-15T15:12:59.152Z
Saltwater Stationery	aquarium	shop	122000	83	5	3	2022-05-15T15:12:59.152Z
Reptile Mini-coaster	zoo	coaster	2090000	2792	33	4	2022-05-15T15:12:59.152Z
Treasure Minecart	pirate	coaster	3269000	2190	20	3	2022-05-15T15:12:59.152Z
Zombie Bungie	spooky	flat	914000	620	39	5	2022-05-15T15:12:59.152Z
Irrational Gyoza	extreme	food	143000	82	22	2	2022-05-15T15:12:59.152Z
Avast Swing	pirate	kids	119000	104	5	3	2022-05-15T15:12:59.152Z
Black Hole Nauseator	space	flat	1170000	965	7	2	2022-05-15T15:12:59.152Z
Scary Stationery	spooky	shop	107000	84	32	4	2022-05-15T15:12:59.152Z
Panda Bungie	zoo	flat	1055000	810	23	3	2022-05-15T15:12:59.152Z
Starfish Chaser	aquarium	coaster	3255000	3460	25	2	2022-05-15T15:12:59.152Z
Phantasmic Swing	spooky	kids	112000	551	36	3	2022-05-15T15:12:59.152Z
Spooky Crepes	spooky	food	56000	38	6	3	2022-05-15T15:12:59.152Z
Reptile Stomach-turner	zoo	flat	1954000	1596	22	4	2022-05-15T15:12:59.152Z
Haunted Force	spooky	coaster	1697000	2124	6	3	2022-05-15T15:12:59.152Z
Excessive Whirlwind	extreme	flat	645000	331	12	3	2022-05-15T15:12:59.152Z
Marine Steak	aquarium	food	64000	41	35	3	2022-05-15T15:12:59.152Z
Scary Sushi	spooky	food	134000	101	23	3	2022-05-15T15:12:59.152Z
Eclipse Pets	space	shop	69000	96	20	5	2022-05-15T15:12:59.152Z
Screaming Bungie	spooky	flat	1111000	1098	40	4	2022-05-15T15:12:59.152Z
Zombie Slingshot	spooky	flat	897000	1335	15	4	2022-05-15T15:12:59.152Z
Jungle Bungie	zoo	flat	1358000	1605	8	3	2022-05-15T15:12:59.152Z
Harrowing Screamer	extreme	coaster	3648000	3716	24	3	2022-05-15T15:12:59.152Z
Forest Mont Blanc	zoo	food	65000	131	14	5	2022-05-15T15:12:59.152Z
Nightmare Vengeance	spooky	coaster	3419000	2755	7	4	2022-05-15T15:12:59.152Z
Nautical Turbulence	pirate	flat	575000	883	27	4	2022-05-15T15:12:59.152Z
Spooky Pizza	spooky	food	97000	100	7	3	2022-05-15T15:12:59.152Z
Radical Udon	extreme	food	51000	49	35	4	2022-05-15T15:12:59.152Z
Irrational Bumpers	extreme	kids	120000	149	7	5	2022-05-15T15:12:59.152Z
Panda Gyoza	zoo	food	92000	73	34	2	2022-05-15T15:12:59.152Z
Submerged Train	aquarium	kids	148000	387	12	5	2022-05-15T15:12:59.152Z
Harrowing Flight	extreme	kids	108000	444	40	4	2022-05-15T15:12:59.152Z
Mutiny Portraits	pirate	shop	61000	36	17	4	2022-05-15T15:12:59.152Z
Starfish Walkabout	aquarium	kids	146000	258	39	5	2022-05-15T15:12:59.152Z
Dark Udon	spooky	food	145000	171	31	2	2022-05-15T15:12:59.152Z
Elephant Shock	zoo	flat	1532000	980	37	3	2022-05-15T15:12:59.152Z
Void -Go-Round	space	kids	117000	365	39	2	2022-05-15T15:12:59.152Z
Intense Rocket	extreme	coaster	2737000	1760	10	2	2022-05-15T15:12:59.152Z
Solstace Shock	space	flat	1929000	992	31	5	2022-05-15T15:12:59.152Z
Plank Crepes	pirate	food	108000	132	24	2	2022-05-15T15:12:59.152Z
Hippo Mountain	zoo	coaster	2051000	2136	29	5	2022-05-15T15:12:59.152Z
Incorporeal Umbrellas	spooky	shop	88000	111	38	2	2022-05-15T15:12:59.152Z
Zombie Pins	spooky	shop	55000	110	14	4	2022-05-15T15:12:59.152Z
Cosmonaut Boat	space	kids	97000	410	28	3	2022-05-15T15:12:59.152Z
Astronaut -Go-Round	space	kids	114000	114	23	4	2022-05-15T15:12:59.152Z
Extreme Flight	extreme	kids	80000	228	31	3	2022-05-15T15:12:59.152Z
Intense Ramen	extreme	food	91000	126	10	2	2022-05-15T15:12:59.152Z
Skull and Bones Zipper	pirate	flat	751000	1156	28	5	2022-05-15T15:12:59.152Z
Ultimate Mountain	extreme	coaster	2687000	3079	16	5	2022-05-15T15:12:59.152Z
Screaming Flight	spooky	kids	85000	126	28	4	2022-05-15T15:12:59.152Z
Avast Curry	pirate	food	111000	112	9	5	2022-05-15T15:12:59.152Z
Sailor Violence	pirate	flat	887000	564	5	2	2022-05-15T15:12:59.152Z
Avast Spinner	pirate	flat	1799000	1363	26	3	2022-05-15T15:12:59.152Z
Scary Whirlwind	spooky	flat	1597000	858	33	2	2022-05-15T15:12:59.152Z
Black Hole Sushi	space	food	143000	76	22	4	2022-05-15T15:12:59.152Z
Algae Swing	aquarium	kids	95000	258	12	4	2022-05-15T15:12:59.152Z
Avast House of Mirrors	pirate	kids	114000	444	30	4	2022-05-15T15:12:59.152Z
Nautical Pizza	pirate	food	100000	94	13	3	2022-05-15T15:12:59.152Z
Antarctic Candy	zoo	shop	74000	72	37	2	2022-05-15T15:12:59.152Z
Skull and Bones Glider	pirate	coaster	3356000	3458	26	5	2022-05-15T15:12:59.152Z
Dolphin Fried Potatoes	aquarium	food	61000	87	37	4	2022-05-15T15:12:59.152Z
Algae House of Mirrors	aquarium	kids	119000	92	11	3	2022-05-15T15:12:59.152Z
Gravity Pizza	space	food	65000	57	32	2	2022-05-15T15:12:59.152Z
Saltwater Rocket	aquarium	coaster	1928000	1344	20	4	2022-05-15T15:12:59.152Z
Untamed House of Mirrors	zoo	kids	74000	400	39	3	2022-05-15T15:12:59.152Z
Untamed Turbulence	zoo	flat	1138000	1071	30	3	2022-05-15T15:12:59.152Z
Algae Acupuncture	aquarium	shop	52000	65	34	4	2022-05-15T15:12:59.152Z
Marine Pets	aquarium	shop	31000	82	11	2	2022-05-15T15:12:59.152Z
Irrational Slingshot	extreme	flat	1858000	948	22	3	2022-05-15T15:12:59.152Z
Jellyfish Glider	aquarium	coaster	3851000	3556	9	3	2022-05-15T15:12:59.152Z
Rocketeer Lightspeed	space	coaster	3752000	2238	37	2	2022-05-15T15:12:59.152Z
Ghoulish Bumpers	spooky	kids	140000	105	12	5	2022-05-15T15:12:59.152Z
Forest Walkabout	zoo	kids	148000	428	19	2	2022-05-15T15:12:59.152Z
Saltwater Fury	aquarium	flat	1481000	836	19	3	2022-05-15T15:12:59.152Z
Nautical Sushi	pirate	food	126000	102	35	2	2022-05-15T15:12:59.152Z
Planetfall Coaster	space	coaster	2898000	2320	39	3	2022-05-15T15:12:59.152Z
Screaming Nauseator	spooky	flat	1104000	640	9	4	2022-05-15T15:12:59.152Z
Hyper Steak	extreme	food	73000	132	30	3	2022-05-15T15:12:59.152Z
Severe Drop	extreme	flat	1567000	1594	37	3	2022-05-15T15:12:59.152Z
Asteroid Balloons	space	shop	128000	117	29	4	2022-05-15T15:12:59.152Z
Pachyderm Curry	zoo	food	134000	108	9	5	2022-05-15T15:12:59.152Z
Black Flag Omelettes	pirate	food	102000	62	35	5	2022-05-15T15:12:59.152Z
Solstace Cars	space	kids	99000	235	20	4	2022-05-15T15:12:59.152Z
Orbit Portraits	space	shop	35000	37	16	3	2022-05-15T15:12:59.152Z
Dolphin Fury	aquarium	flat	1554000	1049	24	5	2022-05-15T15:12:59.152Z
Mutiny Souvenirs	pirate	shop	110000	110	35	5	2022-05-15T15:12:59.152Z
Radical Gyoza	extreme	food	70000	59	18	2	2022-05-15T15:12:59.152Z
Extreme Hamburgers	extreme	food	141000	77	20	2	2022-05-15T15:12:59.152Z
Exosphere Violence	space	flat	936000	866	11	4	2022-05-15T15:12:59.152Z
Hatchery Zipper	aquarium	flat	703000	762	36	2	2022-05-15T15:12:59.152Z
Black Flag Souvenirs	pirate	shop	125000	142	33	3	2022-05-15T15:12:59.152Z
Gangplank Triple Flip	pirate	flat	1923000	1232	12	5	2022-05-15T15:12:59.152Z
Aquatic Fury	aquarium	flat	1165000	641	36	3	2022-05-15T15:12:59.152Z
Arrrr Hamburgers	pirate	food	52000	36	10	2	2022-05-15T15:12:59.152Z
Hatchery Curry	aquarium	food	118000	90	33	2	2022-05-15T15:12:59.152Z
Wetland Chaser	aquarium	coaster	3661000	3119	17	4	2022-05-15T15:12:59.152Z
Waterlogged Whirlwind	aquarium	flat	1388000	1231	5	4	2022-05-15T15:12:59.152Z
Marine House of Mirrors	aquarium	kids	130000	149	22	2	2022-05-15T15:12:59.152Z
Gangplank Swing	pirate	kids	118000	349	27	5	2022-05-15T15:12:59.152Z
Elephant Windjammer	zoo	kids	118000	232	9	5	2022-05-15T15:12:59.152Z
Elephant Boat	zoo	kids	139000	457	21	4	2022-05-15T15:12:59.152Z
Black Hole Whirlwind	space	flat	910000	909	14	3	2022-05-15T15:12:59.152Z
Planetfall Teacups	space	kids	116000	415	23	3	2022-05-15T15:12:59.152Z
Arrrr Balloons	pirate	shop	88000	71	40	2	2022-05-15T15:12:59.152Z
Hatchery Windjammer	aquarium	kids	76000	516	37	4	2022-05-15T15:12:59.152Z
Ghastly Rotator	spooky	kids	91000	451	40	2	2022-05-15T15:12:59.152Z
Zombie -Go-Round	spooky	kids	62000	190	23	3	2022-05-15T15:12:59.152Z
Avast Speedway	pirate	kids	118000	60	25	3	2022-05-15T15:12:59.152Z
Gangplank Speedway	pirate	kids	67000	510	24	3	2022-05-15T15:12:59.152Z
Pachyderm Balloons	zoo	shop	125000	124	19	3	2022-05-15T15:12:59.152Z
Black Hole Whiplash	space	coaster	2472000	3187	15	2	2022-05-15T15:12:59.152Z
Coral Steak	aquarium	food	141000	73	40	2	2022-05-15T15:12:59.152Z
Jungle Steak	zoo	food	118000	139	11	3	2022-05-15T15:12:59.152Z
Void Flight	space	kids	122000	88	5	2	2022-05-15T15:12:59.152Z
Ghastly Slingshot	spooky	flat	1549000	1237	26	2	2022-05-15T15:12:59.152Z
Wetland Force	aquarium	coaster	1733000	1589	29	5	2022-05-15T15:12:59.152Z
Comet Toboggan	space	flat	865000	992	25	2	2022-05-15T15:12:59.152Z
Galleon House of Mirrors	pirate	kids	149000	291	19	5	2022-05-15T15:12:59.152Z
Nautical Chocolates	pirate	shop	105000	95	13	2	2022-05-15T15:12:59.152Z
Screaming Whirlwind	spooky	flat	1804000	1069	34	5	2022-05-15T15:12:59.152Z
Planetfall Lightspeed	space	coaster	2049000	2953	28	2	2022-05-15T15:12:59.152Z
Astronaut Swing	space	kids	79000	81	11	5	2022-05-15T15:12:59.152Z
Maniac Souvenirs	extreme	shop	51000	89	31	2	2022-05-15T15:12:59.152Z
Submerged Steak	aquarium	food	140000	161	20	3	2022-05-15T15:12:59.152Z
Eclipse Mini-coaster	space	coaster	3160000	3517	35	5	2022-05-15T15:12:59.152Z
Algae Violence	aquarium	flat	1816000	1178	38	4	2022-05-15T15:12:59.152Z
Submerged Sushi	aquarium	food	147000	82	37	4	2022-05-15T15:12:59.152Z
Eclipse Candy	space	shop	42000	100	29	4	2022-05-15T15:12:59.152Z
Wildlife Sushi	zoo	food	94000	140	5	5	2022-05-15T15:12:59.152Z
Astronaut Acupuncture	space	shop	100000	83	18	4	2022-05-15T15:12:59.152Z
Untamed Lightspeed	zoo	coaster	681000	1692	15	2	2022-05-15T15:12:59.152Z
Jungle Flight	zoo	kids	98000	204	34	4	2022-05-15T15:12:59.152Z
Orbit Bumpers	space	kids	67000	100	11	4	2022-05-15T15:12:59.152Z
Black Flag Rush	pirate	coaster	2430000	1586	21	2	2022-05-15T15:12:59.152Z
Skeleton Stomach-turner	spooky	flat	549000	736	29	4	2022-05-15T15:12:59.152Z
Untamed Screamer	zoo	coaster	3171000	2708	33	3	2022-05-15T15:12:59.152Z
Coral Fried Potatoes	aquarium	food	123000	100	12	3	2022-05-15T15:12:59.152Z
Eclipse -Go-Round	space	kids	89000	362	35	2	2022-05-15T15:12:59.152Z
Madness Stationery	extreme	shop	43000	66	6	5	2022-05-15T15:12:59.152Z
Screaming Acupuncture	spooky	shop	51000	70	36	5	2022-05-15T15:12:59.152Z
Pirate Rocket	pirate	coaster	2333000	2971	31	4	2022-05-15T15:12:59.152Z
Woodland Train	zoo	kids	75000	45	39	2	2022-05-15T15:12:59.152Z
Spooky Triple Flip	spooky	flat	1438000	811	18	2	2022-05-15T15:12:59.152Z
Shooting Star Sushi	space	food	91000	74	18	4	2022-05-15T15:12:59.152Z
Black Flag Thriller	pirate	coaster	3027000	2584	21	5	2022-05-15T15:12:59.152Z
Nautical Fried Potatoes	pirate	food	114000	60	20	3	2022-05-15T15:12:59.152Z
Excessive Chocolates	extreme	shop	44000	57	33	2	2022-05-15T15:12:59.152Z
Extreme Drop	extreme	flat	895000	727	35	3	2022-05-15T15:12:59.152Z
Cosmonaut Drop	space	flat	1469000	826	12	5	2022-05-15T15:12:59.152Z
